,unfamiliar FD vs UD - yelgrn,pair4,tutor vs mate,unfamiliar FD vs UD - blk17,pair5,pair1,misfit,unfamiliar FD vs UD - yelred,pair3,unfamiliar FD vs UD - bkor,familiar FD vs UD,fam vs unfam,pair2,con vs het
2,0,6,0,0,4,4,5,2,3,1,0,0,7,0
3,0,6,0,0,7,3,3,2,4,3,0,0,3,0
4,3,9,0,1,7,4,20,1,6,1,8,9,9,0
5,1,5,0,1,3,3,7,1,4,0,3,1,4,0
6,1,1,0,1,0,0,8,2,1,0,4,5,1,0
7,1,2,0,1,0,1,14,4,2,1,4,2,3,0
bl127pi154,0,0,0,0,0,0,0,1,0,0,0,0,0,1
bl145pi133,0,0,0,0,0,0,0,2,0,0,0,0,0,3
bl146ye16,0,0,0,0,0,0,0,0,0,0,0,0,2,1
bl181ye161,0,0,0,0,0,0,5,0,0,0,0,0,2,1
bl23y3,0,0,0,0,0,0,2,1,0,0,1,0,0,0
bl23ye3,0,0,2,1,0,0,5,0,0,2,1,2,0,4
bl24pu79,0,0,0,0,0,0,0,0,0,0,0,0,0,4
bl25pu80,0,0,0,0,0,0,0,0,0,0,0,0,0,8
bl26pi26,0,0,0,0,0,0,0,0,0,0,0,0,0,12
bl27,0,0,0,0,0,0,9,0,0,0,0,0,0,0
bl27pi44,0,2,1,1,0,0,3,0,0,1,1,6,2,1
bl30ye82,0,0,0,0,0,0,4,2,0,1,2,3,2,0
bl31b59,0,0,0,0,0,0,7,0,0,0,1,0,0,0
bl33pi53,0,0,0,0,0,0,4,0,0,1,0,0,2,1
bl35p35,0,0,0,0,0,0,3,0,0,0,0,0,0,0
bl36pi46,0,0,0,2,0,0,11,0,0,0,4,6,1,1
bl36pi46m,0,0,0,0,0,0,2,0,0,0,1,5,0,0
bl36ye26,0,0,0,1,0,0,4,4,0,1,1,3,2,2
bl36ye83,0,1,0,0,0,0,1,0,0,0,0,4,1,3
bl37pi47,0,0,0,4,0,0,13,1,0,1,8,14,1,0
bl40p81,2,1,0,1,0,0,13,0,1,1,2,6,1,0
bl40pi81,0,0,0,1,0,0,3,1,0,0,1,1,0,1
bl42y22,0,0,1,1,0,0,2,1,0,0,1,2,1,0
bl42ye22,0,0,4,0,0,0,7,1,0,2,2,5,1,0
bl42ye22p,0,0,0,1,0,0,8,1,0,0,2,5,2,1
bl43y23m,0,0,0,0,0,0,4,0,0,0,2,5,0,0
bl44ye24,0,4,0,3,0,0,4,5,0,1,0,1,3,1
bl45y25,0,0,0,0,0,0,2,0,0,0,2,2,0,0
bl45ye25,0,0,0,0,0,0,4,0,0,1,0,6,0,5
bl46pi46,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bl46re06,0,0,0,1,0,0,10,1,0,0,0,1,3,4
bl46ye26,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bl47gy91,0,0,0,0,0,0,4,0,0,0,0,4,2,0
bl48re08,0,0,0,0,0,0,7,1,0,0,5,3,0,0
bl50gy32,0,1,0,2,0,0,9,2,0,1,4,6,1,3
bl58p24,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bl62gr90,0,0,0,1,0,0,3,1,0,1,0,1,2,3
bl63pu98,0,0,0,1,0,0,2,0,0,1,0,4,3,0
bl69pu99,0,1,0,1,0,0,6,1,0,0,4,15,3,2
bl72bl42_s,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bl73gy23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bl73gy73,0,0,0,0,0,0,0,0,0,0,0,3,1,1
bl78gy31,0,0,0,0,0,0,0,0,0,0,0,0,0,4
bl80pi41,0,0,0,2,0,0,0,0,0,1,1,2,0,0
bl82or90,0,1,0,2,0,0,15,0,0,1,5,9,2,3
bl82ye22,0,0,0,0,0,0,8,0,0,0,1,1,0,2
bl84p27,0,0,0,0,0,0,8,0,0,0,0,0,0,0
bl84pi94,0,0,1,0,0,0,2,0,0,0,0,4,0,0
bl84re84,0,0,0,1,0,0,5,0,0,0,3,2,0,0
bl85gr18,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bl85re,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bl92re92,0,1,2,0,0,0,7,1,0,2,3,4,0,2
bl93re93,0,0,0,0,0,0,0,0,0,0,0,2,1,0
bl99pu75,0,0,0,0,0,0,1,0,0,1,0,0,1,1
g5g95,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gr30bk64,0,0,0,0,0,0,0,0,0,0,1,0,0,0
grey,0,0,0,0,0,0,3,0,0,0,0,0,0,0
grngrn,0,0,0,0,0,0,2,0,0,0,0,0,0,0
gy132gr44,0,0,0,0,0,0,7,0,0,0,0,0,0,2
gy175gr05,0,0,0,0,0,0,0,0,0,0,0,1,1,2
gy82bk81,0,0,0,1,0,0,6,0,0,0,0,4,2,0
gy84bk83,0,0,0,0,0,0,0,0,0,0,0,2,0,0
gy85pi55,0,0,0,1,0,0,8,0,0,0,3,8,1,0
gy93gr91,0,0,0,0,0,0,6,2,0,3,0,9,3,3
orbk,0,0,0,0,0,0,1,0,0,0,0,0,0,0
orgblk,0,0,0,0,0,0,3,0,0,0,0,0,0,0
p53wh53,0,0,0,0,0,0,0,0,0,0,0,2,1,0
pair,0,2,0,0,0,0,0,0,0,0,0,0,0,0
pi128ye78,0,0,0,0,0,0,2,1,0,0,0,1,0,0
pi137wh67,0,0,0,0,0,0,7,0,0,0,0,0,0,0
pi138wh68,0,0,0,0,0,0,9,0,0,0,0,0,0,0
pi196gy56,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pi198ye98,0,0,0,1,0,0,5,0,0,1,2,4,1,2
pi52wh52,0,0,0,1,0,0,5,0,0,0,1,4,1,0
pi53wh53,0,0,0,0,0,0,2,0,0,0,0,4,0,0
pi94ye84,0,0,0,0,0,0,0,0,0,0,0,2,1,1
pi99ye39,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pu45gr15,0,0,0,0,0,0,3,0,0,0,0,0,0,0
s3494,0,0,0,1,0,0,3,1,0,0,1,7,0,0
s3628,0,0,0,0,0,0,3,1,0,0,0,0,0,2
s3642,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s3742,0,0,0,3,0,0,2,0,0,0,1,0,1,0
s3774,0,0,0,1,0,0,3,0,0,0,2,1,1,0
skyblk,0,0,0,0,0,0,2,0,0,0,0,0,0,0
skyyel,0,0,0,0,0,0,1,1,0,0,0,0,0,0
testing,0,0,0,0,0,0,0,0,0,0,0,0,0,1
w11pu92,0,0,0,0,0,0,4,0,0,0,1,0,0,0
w71,0,0,0,0,0,0,6,0,0,0,0,0,0,0
wh13pu94,0,0,0,0,0,0,6,0,0,1,0,3,1,0
wh13pu95,0,0,0,0,0,0,1,0,0,0,0,0,0,0
wh141gy171,0,0,0,0,0,0,2,0,0,0,2,0,0,0
wh142gy172,0,0,0,0,0,0,5,0,0,0,2,0,0,0
wh27wh28,0,0,0,0,0,0,3,0,0,2,0,0,1,5
wh36pi46,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wh65gy55,0,0,0,0,0,0,1,0,0,0,2,2,0,0
y34or157,0,0,0,0,0,0,5,0,0,0,0,0,0,0
y56,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ye72gy52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0
